Image,Cluster 1,Cluster 1 ,Cluster 1,Cluster 2,Cluster 2,Cluster 2,Cluster 3,Cluster 3,Cluster 3,Cluster 4,Cluster 4,Cluster 4,Cluster 5,Cluster 5,Cluster 5,Cluster 6,Cluster 6,Cluster 6
image_01.jpg,178,137,64,214,171,113,47,36,9,117,82,31,196,154,88,157,115,47
image_07.jpg,143,96,27,247,225,137,216,163,71,235,192,99,186,132,47,93,56,8
image_28.jpg,152,144,115,114,95,74,137,118,90,190,157,113,55,48,36,87,72,55
image_31.jpg,110,86,56,207,179,132,144,124,93,74,54,29,183,156,112,227,205,161
image_48.jpg,177,148,98,121,102,65,82,70,38,199,167,112,42,36,13,154,127,83
image_59.jpg,199,166,125,184,162,135,113,110,101,152,140,123,200,158,110,199,175,148
image_65.jpg,215,172,119,114,104,90,185,170,148,211,196,171,224,193,152,173,147,121
image_67.jpg,166,127,67,150,101,31,236,222,174,187,134,27,83,57,19,202,180,92
